id,count1,nhcount1,count.5,nhcount.5,totalcount1,totalcount.5,area1,area.5
1,1,3,0,0,4,0,3.871488,1.776832
4,4,15,0,4,19,4,3.399488,1.302336
5,15,33,1,11,48,12,4.985856,2.264576
6,19,72,7,27,91,34,6.208,2.48128
7,11,52,7,36,63,43,5.358784,2.117824
8,19,61,8,42,80,50,5.073536,1.878592
9,3,26,1,5,29,6,5.309248,2.278336
10,2,20,1,1,22,2,5.255744,2.381184
11,1,21,1,9,22,10,6.133696,2.997632
13,3,8,1,5,11,6,5.36416,2.813056
14,4,11,3,6,15,9,5.10784,2.374976
15,3,14,3,9,17,12,3.715456,1.55936
16,3,25,3,15,28,18,4.903104,2.150144
17,4,21,2,14,25,16,5.590656,2.881024
18,1,16,0,11,17,11,3.520384,1.26656
21,1,8,1,3,9,4,6.356416,3.600832
22,7,10,3,8,17,11,5.503232,2.418304
23,4,8,0,2,12,2,3.595008,1.630976
24,4,5,3,1,9,4,3.218176,1.558784
25,3,1,0,0,4,0,2.539072,1.32768
26,4,7,4,3,11,7,3.286656,1.61824
27,1,3,1,3,4,4,7.133824,3.91456
28,5,22,0,12,27,12,3.504192,1.442816
29,0,0,0,0,0,0,7.020306122,3
30,0,0,0,0,0,0,4.010816327,1.87755102
31,2,2,0,1,4,1,3.803632653,1.612244898
32,3,4,2,2,7,4,3.803632653,2.306122449
33,3,2,1,1,5,2,6.255163265,1.93877551
34,1,2,1,0,3,1,4.283714286,3.530612245
35,0,0,0,0,0,0,7.286653061,1.755102041
36,0,4,0,1,4,1,5.018632653,2.918367347
37,0,2,0,2,2,2,7.166122449,1.469387755
40,2,14,1,5,16,6,5.705897959,3.836734694
41,2,7,1,3,9,4,3.425489796,1.857142857
42,3,9,0,1,12,1,7.823959184,3.12244898
43,3,24,2,16,27,18,3.582326531,2.93877551
44,5,15,3,9,20,12,7.557857143,3
45,2,17,1,10,19,11,6.095530612,4.755102041
46,9,13,1,7,22,8,9.775142857,2.897959184
47,0,1,0,0,1,0,6.875204082,1.979591837
48,2,0,1,0,2,1,4.180020408,2.836734694
49,1,0,0,0,1,0,6.788510204,1.530612245
51,0,4,0,1,4,1,6.29822449,2.306122449
52,0,1,0,0,1,0,6.258163265,1.918367347
56,2,0,1,0,2,1,4.671367347,3.836734694