id,transect,distance,species,dateN,time,timeN,territorym2,TSneigh1,Dneigh1,TSneigh.5,Dneigh.5
1,1,50,Three-spot,44755,07:48,0.33,0.35346,0,1,0,1
2,1,100,Three-spot,44762,11:59,0.5,0.12903,NA,NA,NA,NA
3,1,290,Three-spot,44764,08:33,0.36,0.1243,NA,NA,NA,NA
4,1,350,Three-spot,44762,09:59,0.42,0.21564,1,1,1,0
5,1,360,Three-spot,44772,09:39,0.4,0.41594,2,1,1,1
6,1,510,Longfin,44765,08:11,0.34,0.18983,3,1,2,1
7,1,590,Longfin,44767,09:44,0.41,0.28533,1,1,1,1
8,1,540,Three-spot,44755,11:25,0.48,0.11579,1,2,0,2
9,1,790,Three-spot,44764,08:35,0.36,0.28551,1,1,1,0
10,1,830,Three-spot,44764,13:45,0.57,0.55753,1,1,1,1
11,1,910,Longfin,44765,08:15,0.34,0.39354,2,0,2,0
13,1,1330,Longfin,44767,09:28,0.39,0.64528,0,2,0,1
14,1,1420,Longfin,44758,08:24,0.35,0.44132,1,2,0,2
15,1,1500,Longfin,44766,08:25,0.35,0.21623,3,2,1,1
16,1,1600,Three-spot,44762,10:02,0.42,0.4214,2,2,2,1
17,1,1640,Longfin,44755,11:21,0.47,0.80688,3,2,3,0
18,1,1600,Three-spot,44762,11:56,0.5,0.15768,2,2,2,1
19,1,1570,Longfin,44764,08:40,0.36,0.93455,NA,NA,NA,NA
20,1,1660,Three-spot,44765,08:22,0.35,0.3242,NA,NA,NA,NA
21,1,1880,Longfin,44767,09:34,0.4,1.12674,0,1,0,0
22,1,2120,Longfin,44758,08:28,0.35,0.57092,1,1,0,1
23,1,2120,Longfin,44764,13:39,0.57,0.42206,2,2,2,1
24,1,2260,Three-spot,44766,08:22,0.35,0.14663,1,3,1,2
25,1,2320,Longfin,44755,07:55,0.33,0.78322,2,1,2,1
26,1,2420,Three-spot,44760,08:27,0.35,0.5601,1,3,1,1
27,1,200,Longfin,44758,08:23,0.35,1.14706,1,0,1,0
28,1,1600,Three-spot,44772,09:47,0.41,0.2461,2,3,2,2
29,2,170,Longfin,44770,13:12,0.55,0.67176,2,0,1,0
30,2,280,Three-spot,44763,09:00,0.38,0.38781,1,1,0,1
31,2,320,Three-spot,44771,11:20,0.47,0.26446,1,1,0,0
32,2,470,Longfin,44771,08:13,0.34,0.41226,0,2,0,1
33,2,470,Longfin,44770,13:13,0.55,0.60955,0,2,0,1
34,2,590,Longfin,44763,14:07,0.59,0.95358,1,3,0,3
35,2,690,Longfin,44769,08:06,0.34,0.21287,2,1,0,1
36,2,720,Three-spot,44757,08:17,0.35,0.33689,2,1,2,0
37,2,680,Three-spot,44757,13:45,0.57,0.12921,2,0,2,0
40,2,1480,Longfin,44757,13:42,0.57,0.54984,1,1,1,1
41,2,1460,Three-spot,44763,08:49,0.37,0.20338,0,1,0,1
42,2,1630,Longfin,44771,08:16,0.34,0.33643,1,3,1,1
43,2,1770,Longfin,44759,08:22,0.35,0.56243,0,3,0,2
44,2,1880,Longfin,44771,11:16,0.47,0.53264,0,3,0,3
45,2,1860,Longfin,44770,13:17,0.55,0.6078,1,5,0,4
46,2,1950,Longfin,44771,08:19,0.35,0.43473,0,3,0,2
47,2,2050,Longfin,44757,13:38,0.57,0.54777,1,1,1,0
48,2,2140,Longfin,44759,08:25,0.35,0.40458,1,2,1,1
49,2,2190,Three-spot,44763,08:48,0.37,0.19265,0,2,0,2
50,2,2250,Longfin,44757,08:21,0.35,1.18549,NA,NA,NA,NA
51,2,600,Three-spot,44759,08:28,0.35,0.34159,2,2,2,0
52,2,1630,Three-spot,44757,08:19,0.35,0.24299,0,3,0,2
56,2,2250,Longfin,44771,11:09,0.46,0.51306,0,1,0,1